iter	Passed	Remaining
0	140	139907
1	162	81024
2	204	68104
3	235	58541
4	256	50952
5	284	47160
6	306	43492
7	328	40687
8	349	38488
9	369	36597
10	390	35145
11	412	33938
12	433	32902
13	454	31983
14	476	31267
15	496	30549
16	517	29922
17	540	29468
18	565	29186
19	587	28794
20	609	28432
21	624	27773
22	647	27509
23	671	27316
24	697	27203
25	705	26444
26	732	26389
27	747	25959
28	760	25479
29	788	25489
30	799	24989
31	808	24454
32	831	24375
33	856	24322
34	872	24048
35	888	23786
36	905	23560
37	928	23509
38	954	23517
39	965	23171
40	978	22879
41	986	22503
42	1013	22558
43	1026	22310
44	1051	22321
45	1067	22131
46	1091	22141
47	1103	21893
48	1127	21891
49	1157	21994
50	1184	22031
51	1207	22019
52	1232	22022
53	1248	21878
54	1273	21882
55	1298	21886
56	1318	21809
57	1348	21909
58	1372	21890
59	1395	21857
60	1420	21865
61	1436	21738
62	1459	21701
63	1482	21674
64	1502	21611
65	1520	21512
66	1541	21468
67	1562	21416
68	1583	21361
69	1603	21308
70	1625	21262
71	1646	21220
72	1668	21191
73	1689	21147
74	1710	21101
75	1733	21081
76	1750	20988
77	1767	20897
78	1788	20850
79	1809	20806
80	1832	20791
81	1855	20767
82	1875	20721
83	1896	20682
84	1918	20649
85	1940	20623
86	1958	20556
87	1979	20515
88	2000	20473
89	2021	20438
90	2048	20459
91	2074	20470
92	2094	20429
93	2115	20387
94	2136	20353
95	2159	20332
96	2181	20305
97	2202	20267
98	2223	20233
99	2245	20209
100	2269	20202
101	2297	20224
102	2340	20383
103	2364	20369
104	2389	20370
105	2412	20346
106	2433	20313
107	2455	20279
108	2479	20270
109	2505	20270
110	2526	20233
111	2548	20206
112	2573	20201
113	2595	20172
114	2617	20139
115	2637	20102
116	2659	20069
117	2681	20040
118	2701	20002
119	2715	19915
120	2736	19878
121	2757	19844
122	2777	19806
123	2796	19756
124	2819	19738
125	2842	19714
126	2866	19705
127	2889	19687
128	2914	19680
129	2937	19658
130	2961	19646
131	2983	19621
132	3005	19593
133	3021	19526
134	3045	19513
135	3060	19444
136	3085	19438
137	3115	19462
138	3138	19441
139	3163	19433
140	3186	19414
141	3211	19401
142	3233	19379
143	3258	19371
144	3281	19350
145	3306	19341
146	3341	19387
147	3375	19432
148	3402	19433
149	3429	19433
150	3453	19419
151	3479	19409
152	3505	19405
153	3526	19372
154	3558	19400
155	3586	19404
156	3616	19416
157	3641	19407
158	3667	19396
159	3691	19379
160	3715	19361
161	3740	19351
162	3765	19335
163	3788	19314
164	3816	19316
165	3840	19296
166	3860	19256
167	3881	19222
168	3902	19188
169	3922	19151
170	3942	19114
171	3963	19080
172	3984	19045
173	4005	19016
174	4027	18988
175	4048	18955
176	4071	18931
177	4092	18899
178	4113	18867
179	4135	18840
180	4155	18804
181	4176	18770
182	4197	18738
183	4217	18703
184	4237	18670
185	4252	18610
186	4272	18576
187	4293	18543
188	4314	18512
189	4334	18479
190	4357	18455
191	4383	18445
192	4404	18415
193	4424	18384
194	4445	18352
195	4467	18325
196	4489	18300
197	4511	18275
198	4533	18246
199	4553	18214
200	4574	18182
201	4597	18164
202	4624	18158
203	4648	18136
204	4674	18126
205	4697	18106
206	4719	18080
207	4740	18049
208	4761	18020
209	4782	17991
210	4803	17961
211	4825	17934
212	4846	17905
213	4866	17873
214	4889	17852
215	4914	17839
216	4935	17807
217	4956	17778
218	4976	17746
219	4996	17714
220	5017	17687
221	5040	17664
222	5062	17639
223	5084	17614
224	5108	17595
225	5134	17585
226	5158	17567
227	5183	17552
228	5207	17532
229	5233	17519
230	5255	17496
231	5280	17480
232	5303	17458
233	5326	17436
234	5350	17416
235	5373	17394
236	5399	17382
237	5423	17363
238	5449	17350
239	5471	17327
240	5498	17317
241	5534	17336
242	5567	17343
243	5613	17393
244	5658	17436
245	5703	17481
246	5750	17531
247	5796	17576
248	5842	17622
249	5887	17662
250	5932	17702
251	5974	17733
252	6017	17767
253	6059	17797
254	6101	17824
255	6144	17857
256	6187	17887
257	6230	17919
258	6272	17944
259	6313	17970
260	6354	17993
261	6396	18018
262	6458	18099
263	6524	18190
264	6577	18243
265	6621	18270
266	6663	18293
267	6705	18315
268	6756	18359
269	6798	18381
270	6839	18398
271	6877	18407
272	6915	18416
273	6955	18429
274	6997	18448
275	7037	18461
276	7094	18516
277	7134	18528
278	7210	18634
279	7269	18691
280	7303	18686
281	7340	18689
282	7380	18699
283	7417	18700
284	7456	18706
285	7493	18706
286	7533	18716
287	7575	18728
288	7617	18739
289	7659	18753
290	7700	18762
291	7744	18777
292	7791	18800
293	7835	18815
294	7876	18823
295	7920	18837
296	7962	18847
297	8006	18860
298	8051	18877
299	8095	18889
300	8139	18902
301	8187	18924
302	8233	18938
303	8279	18955
304	8321	18961
305	8362	18965
306	8404	18971
307	8446	18977
308	8486	18978
309	8529	18985
310	8571	18988
311	8611	18989
312	8653	18992
313	8701	19009
314	8745	19018
315	8790	19027
316	8831	19028
317	8872	19027
318	8914	19030
319	8967	19056
320	9011	19061
321	9051	19058
322	9092	19058
323	9134	19059
324	9168	19043
325	9208	19037
326	9259	19056
327	9300	19054
328	9340	19050
