iter	Passed	Remaining
0	50	25256
1	50	12649
2	51	8456
3	51	6385
4	51	5124
5	51	4276
6	52	3668
7	52	3221
8	52	2869
9	52	2590
10	53	2358
11	53	2162
12	53	1996
13	53	1856
14	53	1732
15	53	1627
16	53	1531
17	54	1446
18	54	1370
19	54	1302
20	54	1238
21	54	1181
22	54	1129
23	54	1081
24	54	1037
25	54	996
26	54	958
27	54	923
28	54	891
29	55	861
30	55	833
31	55	808
32	55	783
33	55	759
34	55	741
35	55	720
36	55	700
37	56	682
38	56	664
39	56	646
40	56	630
41	56	615
42	56	600
43	56	586
44	56	572
45	56	560
46	56	548
47	56	536
48	56	524
49	57	513
50	57	502
51	57	492
52	57	482
53	57	473
54	57	464
55	57	455
56	57	447
57	57	439
58	57	431
59	57	424
60	58	417
61	58	410
62	58	403
63	58	397
64	58	391
65	58	385
66	58	379
67	58	373
68	58	367
69	58	361
70	58	355
71	58	350
72	59	345
73	59	340
74	59	335
75	59	330
76	59	326
77	59	321
78	59	317
79	59	312
80	59	308
81	59	304
82	59	300
83	59	296
84	59	292
85	60	289
86	60	285
87	60	281
88	60	278
89	60	274
90	60	271
91	60	268
92	60	265
93	60	262
94	60	259
95	60	256
96	60	253
97	61	250
98	61	248
99	61	245
100	61	242
101	61	240
102	61	237
103	61	235
104	61	232
105	61	230
106	62	227
107	62	225
108	62	223
109	62	220
110	62	218
111	62	216
112	62	214
113	62	212
114	62	210
115	62	208
116	63	206
117	63	204
118	63	202
119	63	200
120	63	198
121	63	196
122	63	194
123	63	192
124	63	191
125	63	189
126	63	187
127	63	185
128	64	184
129	64	182
130	64	181
131	64	179
132	64	178
133	64	177
134	65	175
135	65	174
136	65	172
137	65	171
138	65	169
139	65	168
140	65	166
141	65	165
142	65	164
143	66	163
144	66	162
145	66	160
146	66	159
147	66	157
148	66	156
149	66	155
150	66	154
151	66	153
152	66	151
153	67	150
154	67	149
155	67	148
156	67	147
157	67	146
158	67	145
159	67	143
160	67	142
161	68	141
162	68	140
163	68	139
164	68	138
165	68	137
166	68	136
167	68	135
168	68	134
169	68	133
170	68	132
171	69	131
172	69	130
173	69	129
174	69	128
175	69	127
176	69	126
177	69	125
178	69	124
179	69	123
180	69	123
181	69	122
182	69	121
183	70	120
184	70	119
185	70	118
186	70	117
187	70	116
188	70	116
189	70	115
190	70	114
191	70	113
192	70	112
193	70	111
194	70	111
195	71	110
196	71	109
197	71	108
198	71	107
199	71	107
200	71	106
201	71	105
202	71	104
203	71	104
204	71	103
205	71	102
206	71	101
207	72	101
208	72	100
209	72	99
210	72	99
211	72	98
212	72	97
213	72	97
214	72	96
215	72	95
216	72	95
217	73	94
218	73	93
219	73	93
220	73	92
221	73	91
222	73	91
223	73	90
224	73	90
225	73	89
226	74	89
227	74	88
228	74	87
229	74	87
230	74	86
231	74	86
232	74	85
233	74	84
234	74	84
235	74	83
236	74	83
237	75	82
238	75	82
239	75	81
240	75	81
241	75	80
242	75	80
243	75	79
244	75	78
245	75	78
246	76	77
247	76	77
248	76	76
249	76	76
250	76	75
251	76	75
252	76	74
253	76	74
254	76	73
255	77	73
256	77	72
257	77	72
258	77	71
259	77	71
260	77	70
261	77	70
262	77	70
263	77	69
264	77	69
265	77	68
266	78	68
267	78	67
268	78	67
269	78	66
270	78	66
271	78	65
272	78	65
273	78	64
274	78	64
275	78	64
276	79	63
277	79	63
278	79	62
279	79	62
280	79	61
281	79	61
282	79	61
283	79	60
284	79	60
285	79	59
286	80	59
287	80	59
288	80	58
289	80	58
290	80	57
291	80	57
292	80	57
293	80	56
294	80	56
295	81	55
296	81	55
297	81	55
298	81	54
299	81	54
300	81	54
301	82	53
302	82	53
303	82	53
304	82	52
305	82	52
306	82	51
307	82	51
308	82	51
309	83	50
310	83	50
311	83	50
312	83	49
313	83	49
314	83	48
315	83	48
316	83	48
317	83	47
318	83	47
319	83	47
320	84	46
321	84	46
322	84	46
323	84	45
324	84	45
325	84	45
326	84	44
327	84	44
328	85	44
329	85	43
330	85	43
331	85	43
332	85	42
333	85	42
334	85	42
335	85	41
336	86	41
337	86	41
338	86	41
339	86	40
340	86	40
341	86	40
342	86	39
343	87	39
344	87	39
345	87	38
346	87	38
347	87	38
348	87	37
349	87	37
350	87	37
351	87	36
352	87	36
353	88	36
354	88	36
355	88	35
356	88	35
357	88	35
358	88	34
359	88	34
360	88	34
361	89	33
362	89	33
363	89	33
364	89	33
365	89	32
366	89	32
367	89	32
368	89	31
369	90	31
370	90	31
371	90	31
372	90	30
373	90	30
374	90	30
375	90	29
376	90	29
377	90	29
378	91	29
379	91	28
380	91	28
381	91	28
382	91	27
383	91	27
384	91	27
385	91	27
386	92	26
387	92	26
388	92	26
389	92	26
390	92	25
391	92	25
392	92	25
393	92	24
394	92	24
395	93	24
396	93	24
397	93	23
398	93	23
399	93	23
400	94	23
401	94	22
402	94	22
403	94	22
404	94	22
405	94	21
406	94	21
407	95	21
408	95	21
409	95	20
410	95	20
411	95	20
412	95	20
413	95	19
414	96	19
415	96	19
416	96	19
417	96	18
418	96	18
419	96	18
420	96	18
421	96	17
422	97	17
423	97	17
424	97	17
425	97	16
426	97	16
427	97	16
428	97	16
429	97	15
430	98	15
431	98	15
432	98	15
433	98	14
434	98	14
435	98	14
436	98	14
437	98	13
438	99	13
439	99	13
440	99	13
441	99	13
442	99	12
443	99	12
444	99	12
445	99	12
446	99	11
447	100	11
448	100	11
449	100	11
450	100	10
451	100	10
452	100	10
453	100	10
454	101	9
455	101	9
456	101	9
457	101	9
458	101	9
459	101	8
460	101	8
461	102	8
462	102	8
463	102	7
464	102	7
465	102	7
466	102	7
467	102	7
468	102	6
469	102	6
470	103	6
471	103	6
472	103	5
473	103	5
474	103	5
475	103	5
476	103	5
477	103	4
478	104	4
479	104	4
480	104	4
481	104	3
482	104	3
483	104	3
484	104	3
485	104	3
486	105	2
487	105	2
488	105	2
489	105	2
490	105	1
491	105	1
492	105	1
493	105	1
494	105	1
495	106	0
496	106	0
497	106	0
498	106	0
499	106	0
